Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,26.645000,26.879999,24.590000,25.860001,17.883686,143162328
2018-03-01,25.795000,25.945000,20.934999,21.600000,14.937651,253832373
2018-04-01,21.600000,23.820000,21.184999,23.719999,16.403753,142440413
2018-05-01,23.719999,23.959999,21.059999,21.325001,14.747473,167841946
2018-06-01,21.594999,22.170000,20.655001,21.014999,15.343878,152838052
2018-07-01,20.875000,21.705000,20.495001,21.600000,15.771010,132591572
2018-08-01,21.580000,22.315001,21.264999,21.745001,15.876880,132071584
2018-09-01,21.950001,23.700001,21.590000,23.150000,16.902725,147380515
2018-10-01,23.125000,23.900000,21.400000,22.139999,16.165285,182279613
2018-11-01,22.139999,22.555000,20.760000,21.514999,15.708949,138310921
2018-12-01,21.995001,22.000000,18.398001,18.858000,13.768968,176550585
2019-01-01,18.858000,20.610001,18.427999,20.245001,14.781673,149504442
2019-02-01,20.280001,22.375000,19.936001,22.295000,16.278460,138176304
2019-03-01,22.389999,23.010000,21.875000,22.430000,16.377026,150063869
2019-04-01,22.594999,23.889999,22.490000,23.745001,17.337160,123360541
2019-05-01,23.745001,23.745001,21.805000,22.080000,16.121477,152281036
2019-06-01,21.924999,23.410000,21.690001,23.100000,17.874954,119599295
2019-07-01,23.299999,23.985001,22.865000,22.900000,17.720194,109850501
2019-08-01,22.950001,23.219999,20.525000,20.870001,16.149366,147968580
2019-09-01,20.900000,23.440001,20.775000,23.430000,18.130312,133552091
2019-10-01,23.514999,24.385000,22.209999,23.684999,18.327631,135832911
2019-11-01,23.780001,25.424999,23.639999,24.695000,19.109179,112392537
2019-12-01,24.719999,25.440001,24.145000,25.110001,19.430309,104834906
2020-01-01,25.110001,25.584999,23.665001,24.080000,18.633287,125211282
2020-02-01,24.205000,25.615000,20.719999,20.955000,16.215139,180571877
2020-03-01,21.309999,21.490000,11.844000,15.788000,12.216875,433515810
2020-04-01,15.128000,17.000000,13.786000,16.195999,12.532587,187837904
2020-05-01,16.195999,17.354000,14.674000,16.379999,12.674969,158944687
2020-06-01,16.768000,20.230000,16.500000,18.612000,15.794039,218942928
2020-07-01,18.634001,19.606001,16.823999,16.864000,14.310696,154680423
2020-08-01,16.954000,18.087999,16.662001,17.076000,15.062636,122840287
2020-09-01,17.191999,17.716000,15.430000,15.776000,13.915915,157236975
2020-10-01,15.948000,16.416000,13.344000,13.800000,12.172897,166710387
2020-11-01,13.890000,19.978001,13.720000,19.712000,17.387836,205993197
2020-12-01,19.768000,20.450001,18.719999,19.511999,17.211418,126522423
2021-01-01,19.511999,20.580000,18.209999,18.299999,16.142319,120813670
2021-02-01,18.490000,21.350000,18.364000,20.799999,18.347553,113144001
2021-03-01,21.004999,23.250000,21.004999,22.885000,20.186722,139846512
2021-04-01,22.879999,23.889999,22.775000,23.525000,20.751261,110235665
2021-05-01,23.594999,24.160000,22.004999,22.580000,19.917683,115796841
2021-06-01,22.639999,23.129999,21.219999,21.385000,20.050333,116283497
2021-07-01,21.600000,22.055000,20.780001,21.879999,20.514439,109700548
2021-08-01,22.500000,24.445000,22.410000,23.780001,22.295858,98934424
2021-09-01,23.889999,24.270000,22.160000,24.084999,22.581821,107455749
2021-10-01,23.805000,25.160000,23.280001,25.160000,23.589729,98769713
2021-11-01,25.045000,26.350000,23.924999,24.350000,22.830284,132217343
2021-12-01,24.480000,26.559999,24.480000,26.184999,24.550758,118640012
2022-01-01,26.389999,28.754999,26.295000,27.955000,26.210291,115127504
2022-02-01,28.145000,29.090000,23.530001,24.275000,22.759964,144407443
2022-03-01,23.940001,26.924999,20.985001,26.565001,24.907043,206953896
2022-04-01,26.600000,27.389999,25.370001,25.459999,23.871006,103990641
2022-05-01,25.219999,25.625000,22.150000,23.510000,22.042709,130186271
2022-06-01,23.770000,24.055000,21.325001,21.660000,21.660000,118355181
2022-07-01,21.450001,22.590000,20.334999,22.450001,22.450001,98400261
2022-08-01,22.434999,24.879999,22.070000,23.525000,23.525000,108208596
2022-09-01,23.365000,25.844999,22.209999,22.475000,22.475000,129698677
2022-10-01,22.105000,25.129999,21.775000,25.000000,25.000000,99253628
2022-11-01,25.170000,27.600000,24.905001,27.020000,27.020000,101766052
2022-12-01,27.160000,27.674999,25.924999,26.030001,26.030001,57434847
