Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,19.250000,19.730000,17.930000,18.950001,16.661034,62487527
2018-03-01,18.120001,18.299999,16.459999,16.850000,14.814692,79734053
2018-04-01,16.850000,17.219999,15.510000,17.035000,14.977345,71613413
2018-05-01,17.035000,17.070000,15.385000,15.425000,13.561818,61234496
2018-06-01,15.375000,15.790000,13.805000,13.870000,12.194646,87443171
2018-07-01,13.870000,15.770000,12.955000,15.360000,13.923984,113035625
2018-08-01,15.395000,15.915000,14.860000,15.415000,13.973843,63503121
2018-09-01,15.370000,16.980000,15.005000,16.500000,14.957404,72755805
2018-10-01,16.500000,17.355000,15.315000,17.150000,15.546636,96146237
2018-11-01,17.049999,17.850000,15.865000,15.900000,14.413498,65969171
2018-12-01,16.040001,16.100000,14.250000,14.910000,13.516054,77052497
2019-01-01,14.910000,17.580000,14.485000,17.285000,15.669014,62978085
2019-02-01,17.375000,18.174999,17.055000,18.000000,16.317167,49297150
2019-03-01,17.700001,18.145000,16.145000,16.650000,15.093381,55787378
2019-04-01,16.745001,17.575001,15.870000,17.370001,15.746067,45069609
2019-05-01,17.370001,17.995001,16.584999,16.840000,15.265618,48727569
2019-06-01,16.754999,17.500000,16.309999,16.980000,15.392528,60296564
2019-07-01,17.070000,18.150000,16.820000,17.405001,16.211227,49976472
2019-08-01,17.375000,17.469999,15.080000,15.500000,14.436887,52758629
2019-09-01,15.500000,17.195000,15.435000,16.059999,14.958476,43750246
2019-10-01,16.100000,16.219999,14.810000,15.255000,14.208691,53014932
2019-11-01,15.265000,15.885000,14.975000,14.980000,13.952552,45637684
2019-12-01,14.980000,15.285000,14.575000,14.950000,13.924610,43213385
2020-01-01,14.950000,15.750000,14.425000,15.305000,14.255261,59450780
2020-02-01,15.355000,16.770000,15.230000,15.645000,14.571941,60128312
2020-03-01,15.810000,16.915001,12.195000,14.415000,13.426305,134758706
2020-04-01,14.100000,15.495000,13.070000,13.495000,12.569404,58007191
2020-05-01,13.495000,13.800000,12.095000,13.655000,12.718431,67284736
2020-06-01,13.745000,14.955000,13.675000,13.755000,12.811572,76179862
2020-07-01,13.770000,14.155000,13.090000,13.500000,12.771673,61584913
2020-08-01,13.520000,14.100000,13.080000,13.460000,12.733830,39504139
2020-09-01,13.530000,14.835000,13.100000,13.665000,12.927771,68587834
2020-10-01,13.800000,14.230000,13.045000,13.360000,12.639225,55480394
2020-11-01,13.150000,14.745000,13.040000,13.730000,12.989264,76317183
2020-12-01,13.780000,14.415000,13.240000,14.030000,13.273079,64866961
2021-01-01,14.030000,18.100000,13.990000,13.990000,13.235237,141290944
2021-02-01,14.015000,15.240000,13.925000,14.445000,13.665689,59481298
2021-03-01,14.620000,15.610000,14.135000,15.445000,14.611739,60987741
2021-04-01,15.425000,16.190001,14.810000,16.105000,15.236133,51167279
2021-05-01,16.120001,17.490000,15.945000,16.719999,15.817952,70787295
2021-06-01,16.750000,17.520000,16.365000,16.584999,16.145437,56258846
2021-07-01,16.670000,17.440001,15.620000,15.660000,15.244954,52328337
2021-08-01,15.785000,17.450001,15.710000,16.850000,16.403416,46019476
2021-09-01,16.059999,16.480000,14.515000,15.545000,15.133002,96163808
2021-10-01,15.415000,16.350000,14.915000,15.655000,15.240087,63241198
2021-11-01,15.660000,16.625000,14.620000,14.620000,14.232518,62461824
2021-12-01,14.695000,16.105000,14.530000,16.105000,15.678160,60719656
2022-01-01,16.160000,18.639999,15.980000,16.920000,16.471560,85794625
2022-02-01,17.000000,18.309999,16.375000,17.900000,17.425587,63593948
2022-03-01,17.885000,19.715000,16.580000,19.645000,19.124338,79552933
2022-04-01,19.684999,20.799999,18.799999,20.160000,19.625689,60359184
2022-05-01,20.020000,21.370001,18.565001,19.030001,18.525639,79565290
2022-06-01,19.139999,19.865000,16.330000,16.885000,16.437487,52629942
2022-07-01,16.875000,17.565001,16.325001,16.639999,16.639999,38609315
2022-08-01,16.650000,17.500000,16.040001,16.639999,16.639999,39915011
2022-09-01,16.559999,17.125000,13.850000,14.215000,14.215000,48958062
2022-10-01,14.110000,16.389999,14.035000,16.285000,16.285000,43416834
2022-11-01,16.350000,16.690001,15.995000,16.424999,16.424999,42237391
2022-12-01,16.500000,16.950001,15.355000,15.575000,15.575000,30100225
