Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,35.490002,35.540001,32.799999,34.650002,29.709061,15019786
2018-03-01,34.580002,37.189999,33.099998,36.610001,31.389574,16734856
2018-04-01,36.610001,38.480000,35.439999,37.709999,32.332722,12000636
2018-05-01,37.709999,41.520000,37.500000,40.500000,34.724876,16171801
2018-06-01,40.770000,41.490002,38.540001,39.360001,33.747437,15464791
2018-07-01,39.099998,39.990002,37.770000,38.380001,32.907181,14947211
2018-08-01,38.310001,38.639999,36.580002,38.000000,32.857117,9905538
2018-09-01,37.810001,41.360001,37.250000,38.490002,33.280804,12414936
2018-10-01,38.400002,39.849998,36.660000,38.650002,33.419151,17961029
2018-11-01,38.529999,39.849998,37.080002,38.759998,33.514263,15483982
2018-12-01,39.110001,39.110001,34.360001,35.270000,30.496597,14935295
2019-01-01,35.270000,36.450001,33.400002,35.180000,30.418776,21829290
2019-02-01,35.529999,38.470001,34.970001,38.220001,33.047344,13553553
2019-03-01,38.389999,39.750000,37.160000,38.619999,33.393208,9841929
2019-04-01,38.830002,41.080002,38.590000,39.200001,33.894714,9578346
2019-05-01,39.200001,40.939999,37.119999,40.880001,35.347343,13861307
2019-06-01,40.700001,42.750000,39.900002,40.799999,35.278172,15448955
2019-07-01,41.020000,42.500000,37.009998,39.040001,33.756371,14262699
2019-08-01,38.759998,39.490002,37.040001,38.869999,38.192371,9593271
2019-09-01,38.770000,40.119999,36.720001,38.029999,37.367012,26646340
2019-10-01,38.090000,39.080002,36.509998,38.750000,38.074463,15005340
2019-11-01,38.950001,40.160000,37.240002,39.580002,38.889996,17925778
2019-12-01,39.900002,43.070000,39.220001,42.230000,41.493797,11941925
2020-01-01,42.230000,48.520000,41.849998,47.939999,47.104252,16628666
2020-02-01,48.099998,50.639999,40.558132,41.253574,40.534393,24015240
2020-03-01,41.364845,43.330624,27.567289,35.365505,34.748970,29166653
2020-04-01,34.530975,37.674370,33.418270,34.642246,34.038322,11510157
2020-05-01,34.642246,37.934002,32.055206,35.087330,34.475647,15571778
2020-06-01,35.699318,41.105213,34.920422,38.397629,37.728233,18688817
2020-07-01,38.388355,46.603836,36.914021,43.794254,43.030781,17183084
2020-08-01,43.312080,45.259315,42.588821,43.247173,42.493237,9856594
2020-09-01,43.395535,44.832779,38.926163,39.426884,38.739548,22313486
2020-10-01,39.779240,39.964691,35.356232,35.680771,35.058743,19406427
2020-11-01,35.736408,45.630001,33.909714,44.700001,43.920738,38882695
2020-12-01,45.500000,47.240002,43.529999,46.610001,45.797440,20201877
2021-01-01,46.610001,49.700001,42.910000,44.860001,44.077950,20503358
2021-02-01,45.840000,47.650002,40.320000,41.340000,40.619312,26007992
2021-03-01,41.970001,44.610001,39.669998,42.520000,41.778740,28024236
2021-04-01,42.680000,47.580002,42.430000,45.439999,44.647831,22510211
2021-05-01,45.529999,46.900002,42.020000,45.990002,45.188248,22246021
2021-06-01,46.080002,47.139999,42.240002,42.590000,41.847519,21322730
2021-07-01,42.660000,43.889999,34.770000,34.959999,34.350533,35677122
2021-08-01,34.950001,37.400002,34.529999,36.400002,35.765434,25222455
2021-09-01,36.430000,36.669998,30.110001,32.849998,32.509796,39465195
2021-10-01,32.139999,32.330002,30.330000,30.780001,30.461235,24235109
2021-11-01,30.820000,35.310001,30.430000,31.480000,31.153984,37243549
2021-12-01,31.719999,32.799999,27.809999,31.219999,30.896677,25994602
2022-01-01,31.450001,34.770000,28.209999,28.650000,28.353292,36567984
2022-02-01,29.059999,29.370001,21.719999,22.900000,22.662842,46533234
2022-03-01,22.740000,22.809999,16.360001,21.270000,21.049723,66355508
2022-04-01,21.410000,22.490000,19.650000,21.120001,20.901278,27965359
2022-05-01,20.950001,26.340000,19.275000,25.400000,25.136951,47986843
2022-06-01,25.600000,27.299999,21.139999,21.590000,21.366409,32751083
2022-07-01,21.580000,25.049999,21.469999,23.150000,22.910252,27056379
2022-08-01,23.200001,25.670000,20.260000,20.559999,20.559999,26185869
2022-09-01,20.299999,22.370001,16.040001,16.745001,16.745001,40347172
2022-10-01,16.639999,21.180000,16.410000,20.860001,20.860001,33519285
2022-11-01,21.040001,25.790001,20.520000,24.860001,24.860001,43677223
2022-12-01,25.330000,25.480000,22.570000,22.820000,22.820000,16563219
