Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,14.045000,14.140000,12.470000,12.875000,8.967040,155698006
2018-03-01,12.845000,13.685000,12.165000,13.555000,9.440640,168377240
2018-04-01,13.555000,14.555000,13.500000,14.550000,10.133626,99646106
2018-05-01,14.550000,14.815000,13.460000,13.535000,9.426710,124474469
2018-06-01,13.625000,14.075000,13.025000,13.130000,9.369245,134290775
2018-07-01,13.050000,14.275000,12.985000,13.815000,9.858044,109529793
2018-08-01,13.805000,13.810000,12.610000,12.630000,9.012458,96656441
2018-09-01,12.605000,12.725000,12.075000,12.665000,9.037432,136538428
2018-10-01,12.665000,12.865000,11.310000,11.775000,8.402349,162654399
2018-11-01,11.745000,12.735000,11.730000,12.420000,9.126204,137687159
2018-12-01,12.605000,13.060000,11.915000,12.525000,9.203359,122806293
2019-01-01,12.525000,14.070000,12.170000,13.985000,10.276166,131052608
2019-02-01,14.005000,14.215000,13.185000,13.250000,9.736089,102292079
2019-03-01,13.270000,13.570000,13.075000,13.280000,9.758132,117374752
2019-04-01,13.330000,13.660000,12.950000,13.205000,9.703021,94527576
2019-05-01,13.205000,13.820000,12.310000,12.450000,9.148250,136870512
2019-06-01,12.410000,13.620000,12.315000,13.340000,10.077291,120614545
2019-07-01,13.485000,14.390000,13.285000,13.920000,10.515435,106303666
2019-08-01,13.830000,13.955000,13.145000,13.825000,10.443670,106364296
2019-09-01,13.800000,14.980000,13.270000,14.980000,11.316179,130915619
2019-10-01,14.990000,15.240000,14.405000,14.995000,11.327510,129818782
2019-11-01,15.055000,15.055000,13.990000,14.360000,10.847818,114471592
2019-12-01,14.490000,14.810000,14.040000,14.400000,10.878036,103472576
2020-01-01,14.400000,15.915000,14.400000,15.560000,11.754323,122477578
2020-02-01,15.480000,16.795000,14.830000,15.030000,11.353950,187811864
2020-03-01,15.220000,16.025000,9.266000,9.412000,7.110004,344937439
2020-04-01,9.200000,10.325000,8.626000,9.904000,7.481671,165759098
2020-05-01,9.904000,10.875000,8.850000,10.635000,8.033883,144560266
2020-06-01,10.750000,12.115000,10.540000,11.000000,9.084762,177959331
2020-07-01,11.005000,11.700000,10.580000,11.290000,9.324268,140850147
2020-08-01,11.440000,12.200000,11.040000,11.655000,9.625717,99530764
2020-09-01,11.750000,12.255000,11.020000,11.420000,9.431633,119421275
2020-10-01,11.530000,12.355000,10.100000,10.385000,8.576841,124857331
2020-11-01,10.410000,12.715000,10.255000,12.370000,10.216227,143535923
2020-12-01,12.430000,12.940000,11.895000,12.520000,10.340110,106157724
2021-01-01,12.520000,13.865000,12.450000,12.820000,10.587876,111099694
2021-02-01,12.795000,13.470000,12.015000,12.085000,9.980848,95204190
2021-03-01,12.305000,12.400000,11.315000,12.105000,9.997366,154016872
2021-04-01,12.168000,12.538000,12.012000,12.370000,10.216227,93249904
2021-05-01,12.392000,13.258000,12.052000,12.150000,10.034531,109597070
2021-06-01,12.210000,12.496000,11.382000,11.554000,9.943239,108872981
2021-07-01,11.670000,11.824000,10.976000,11.252000,9.683342,117414287
2021-08-01,11.300000,12.406000,11.262000,12.132000,10.440660,99224758
2021-09-01,12.242000,12.408000,11.288000,11.342000,9.760796,179824483
2021-10-01,11.264000,12.448000,11.214000,12.296000,10.581797,111516894
2021-11-01,12.314000,13.664000,12.312000,12.810000,11.024139,130636070
2021-12-01,12.810000,13.340000,12.518000,13.014000,11.199698,110179056
2022-01-01,13.066000,13.916000,13.054000,13.554000,11.664416,126815306
2022-02-01,13.698000,14.606000,13.552000,14.268000,12.278877,148234292
2022-03-01,14.080000,14.126000,9.789000,11.934000,10.270264,245152025
2022-04-01,11.952000,12.408000,10.836000,11.322000,9.743584,137744923
2022-05-01,11.278000,12.890000,10.376000,12.496000,12.496000,145996414
2022-06-01,12.542000,12.720000,10.776000,10.966000,10.966000,130951246
2022-07-01,10.880000,12.362000,10.074000,12.060000,12.060000,130464344
2022-08-01,12.288000,13.188000,11.864000,11.868000,11.868000,109039531
2022-09-01,11.800000,13.388000,11.686000,11.842000,11.842000,126419561
2022-10-01,11.900000,13.268000,11.344000,13.154000,13.154000,100049540
2022-11-01,13.190000,14.682000,13.030000,14.520000,14.520000,118154995
2022-12-01,14.632000,14.650000,13.842000,13.892000,13.892000,63607373
